indicator,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count,rank_biserial,ci_low,ci_high
AWCR,0.6259827229242522,0.5804665983572994,0.4949137773245162,0.5042016806722689,0.0985221674876847,0.547812201694715,0.5654008438818565,0.2200328407224959,0.5758228634006041,0.5955056179775281,0.348111658456486,0.5978553071391013,0.6181434599156118,0.4811165845648604,0.6039268921094244,0.6216216216216216,0.6042692939244664,75,0.2519654458485043,0.1892120368387235,0.3135057471264368
AW_index,0.6262697222817163,0.5776379019670905,0.4935810628604949,0.5210084033613446,0.1018062397372742,0.5468783560765861,0.5738396624472574,0.2233169129720854,0.5736715097917617,0.598314606741573,0.3497536945812808,0.5827291141129927,0.6033755274261603,0.4696223316912972,0.5941084068395438,0.6131756756756757,0.5960591133004927,214,0.2525394445634326,0.1890710359106162,0.3154364246448205
Total Citation,0.6262697222817163,0.5776386169165986,0.4935810628604949,0.5210084033613446,0.1018062397372742,0.5468783560765861,0.5738396624472574,0.2233169129720854,0.5736715097917617,0.598314606741573,0.3497536945812808,0.5827291141129927,0.6033755274261603,0.4696223316912972,0.5941085955350452,0.6131756756756757,0.5960591133004927,221,0.2525394445634326,0.1890686799457413,0.3154474191475691
Real h index,0.5484257871064468,0.5336967669256723,0.4930707092111305,0.4873949579831932,0.0952380952380952,0.5026179733913317,0.5039180229053647,0.1961060286183439,0.5292255212452542,0.5365168539325843,0.3136288998357964,0.5562692051234402,0.5682137834036568,0.4422550629447181,0.5534740818309715,0.5625,0.5467980295566502,749,0.0968515742128937,0.0299279645891339,0.162831084457771
Cite/Year,0.6429114014421361,0.5883676253467182,0.4912531929455836,0.5546218487394958,0.1083743842364532,0.5451251885729919,0.5907172995780591,0.2298850574712643,0.5792340190998847,0.6179775280898876,0.361247947454844,0.6076050680805168,0.6434599156118144,0.5008210180623974,0.6027389660564653,0.6300675675675675,0.6124794745484401,123,0.2858228028842722,0.2235890626115513,0.347464267866067
h_m_index,0.5966673805954165,0.5622757440252087,0.4881472731390984,0.4873949579831932,0.0952380952380952,0.5470093476915264,0.5611814345991561,0.2183908045977011,0.5757168471494124,0.5926966292134831,0.3464696223316913,0.5859880797668725,0.6012658227848101,0.4679802955665024,0.5789235312576159,0.589527027027027,0.5730706075533661,327,0.1933347611908329,0.1288504319268936,0.2560933818804882
hm_index,0.5973313343328336,0.5624328365477325,0.4881472731390984,0.4873949579831932,0.0952380952380952,0.5470093476915264,0.5611814345991561,0.2183908045977011,0.5757168471494124,0.5926966292134831,0.3464696223316913,0.5859880797668725,0.6012658227848101,0.4679802955665024,0.5789235312576159,0.589527027027027,0.5730706075533661,328,0.1946626686656671,0.1296511030199186,0.257632041122296
t index,0.6014635539373171,0.5606185219106634,0.4840668286944534,0.4957983193277311,0.0968801313628899,0.5194879262710665,0.5348101265822786,0.208128078817734,0.5601917335934148,0.5805243445692884,0.3393541324575807,0.5729596679597326,0.5914205344585091,0.4603174603174603,0.5855724536911558,0.6032818532818534,0.5864414731409806,975,0.2029271078746342,0.1383869493824516,0.2651010923109873
hc index,0.6170186335403727,0.5699566746559287,0.4836873939052306,0.5042016806722689,0.0985221674876847,0.5262285923224863,0.5457102672292545,0.2123700054734537,0.5585644298395543,0.5796920516021639,0.3388676032354192,0.5841478958381346,0.6061884669479606,0.4718117131910235,0.5978527999787859,0.6188063063063064,0.6015325670498085,1084,0.2340372670807453,0.1716021275076747,0.2951203683872349
platinium_h_index,0.6591875490826016,0.597738459695256,0.4800621453689244,0.5462184873949579,0.1067323481116584,0.5591091907072723,0.6118143459915611,0.238095238095238,0.5872195975658008,0.6292134831460674,0.367816091954023,0.6121998978092718,0.6497890295358649,0.5057471264367817,0.618742004878359,0.6503378378378378,0.632183908045977,104,0.3183750981652031,0.2557128578567859,0.3793525380167058
